id;stock;imagen;talla;color;coleccion
1;61716;synthesizing y;primary proceso;Verde;12423
2;47309;bypassing iniciativa Buckinghamshire;program Increible next-generation;Blanco;38864
3;47217;Acero;Inversor Galicia International;Gris;71195
4;6971;extensible Apartamento;Somalia Patatas;Gris;57132
5;47247;International;Bicicleta payment;Negro;14953
6;29138;niches Soluciones Polarizado;up Coordinador out-of-the-box;Morado;16334
7;59532;Huerta;Mesa;Amarillo;6785
8;15745;optimize Joyería Buckinghamshire;Región Muelle;Blanco;93475
9;26978;input política Guapa;Interno móbil Baleares;Violeta;11346
10;94112;Ordenador;Edificio extensible;Morado;31193
