id;stock;imagen;talla;color;coleccion
1;74790;Rústico Relacciones Blanco;Kazajistan Money;Azul;39524
2;32438;acceso Vía Genérico;pixel virtual Madera;Verde;75763
3;45895;Programa;CSS;Morado;61334
4;74793;Interno;Guapo de SMTP;Blanco;77229
5;90463;Estratega;back-end USB;Negro;28050
6;2109;Bedfordshire transmitting Bricolaje;sistemática Guantes;Negro;81096
7;82271;el;Práctico logística;Azul;29965
8;28225;vortals;Chalet Acero Heredado;Negro;77082
9;55276;copying Georgia;Técnico;Negro;95551
10;4855;aggregate;Morado TCP calculating;Amarillo;43559
