id;stock;imagen;talla;color;coleccion
1;28879;Videojuegos Bicicleta;parsing Pequeño Perú;Rojo;87838
2;3087;Poblado Región Funcionario;Terrenos proyecto invoice;Azul;33058
3;99855;capacitor Gris Robusto;Card quantifying Iraqi;Blanco;56436
4;93872;Exclusivo panel;Granito Planificador Auto;Blanco;82718
5;66411;bluetooth;Creativo navigate;Morado;1331
6;61799;generate;THX;Rojo;53160
7;25895;disintermediate Dinar;web Enfocado;Negro;33610
8;78201;Artesanal Técnico;scale;Morado;43004
9;65911;program;Negro transmitting;Morado;36922
10;493;virtual Nacional;Respuesta Asociado;Amarillo;24846
